qid,label,description,image_url,inventory,collection,location,inception,genre,depicts,material,height_cm,width_cm,category,category_justification,local_filename,commons_artist,commons_license,commons_attribution,commons_license_url
Q29044241,Madonna and Child,painting by Orazio Gentileschi (previously attr. to Artemisia),http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Madonna%20and%20Child%20d5017473x.jpg,,http://www.wikidata.org/.well-known/genid/61458194eca049c3c8ff05aa713764c7,private collection,1607-01-01T00:00:00Z,religious art,Mary,oil paint,91.4,73,UNQUESTIONED,"c.1609, National Gallery Rome. Early devotional work. Bissell cat. 11.",UNQ_23_Madonna_and_Child_1607.jpg,,,,
Q29053298,Madonna and Child in a Landscape,painting by Orazio Gentileschi in Burghley House,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Madonna%20and%20Child%20in%20a%20Landscape.JPG,PIC 221,Burghley House,Burghley House,1622-01-01T00:00:00Z,religious art,Mary,oil paint,11,8,UNQUESTIONED,"c.1609, National Gallery Rome. Early devotional work. Bissell cat. 11.",UNQ_24_Madonna_and_Child_in_a_Landsca_1622.jpg,,,,
Q28810709,Madonna and Child in a landscape,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Madonna%20and%20Child%20in%20a%20landscape%20-%20Google%20Art%20Project.jpg,SR117,Musei di Strada Nuova,Palazzo Rosso,1650-01-01T00:00:00Z,religious art,Mary,,308,234,UNQUESTIONED,"c.1609, National Gallery Rome. Early devotional work. Bissell cat. 11.",UNQ_25_Madonna_and_Child_in_a_landsca_1650.jpg,,,,
Q29025428,Madonna and Child with Sts Sebastian and Francis,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Madonna%20and%20Child%20with%20Sts%20Sebastian%20and%20Francis.png,,http://www.wikidata.org/.well-known/genid/6d9e6b7e2b7f05495439f57b1b035329,private collection,1600-01-01T00:00:00Z,religious art,Mary,oil paint,,,UNQUESTIONED,"c.1609, National Gallery Rome. Early devotional work. Bissell cat. 11.",UNQ_26_Madonna_and_Child_with_Sts_Seb_1600.png,,,,
Q29024815,Penitent Magdalene,painting by Orazio Gentileschi in the Kunsthistorisches Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Penitent%20Magdalene%20GG%20179.jpg,GG_179,Kunsthistorisches Museum,Kunsthistorisches Museum,1622-01-01T00:00:00Z,religious art,book,oil paint,163,208,UNQUESTIONED,"c.1605-10, Vienna. Early Roman work. Longhi 1916, Bissell cat. 10.",UNQ_27_Penitent_Magdalene_1622.jpg,,,,
Q28042942,Portrait of a Young Woman as a Sibyl,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Portrait%20of%20a%20Young%20Woman%20as%20a%20Sibyl%20-%2061.74%20-%20Museum%20of%20Fine%20Arts.jpg,61.74,"Museum of Fine Arts, Houston","Museum of Fine Arts, Houston",1620-01-01T00:00:00Z,portrait,sibyl,oil paint,816.102,730.25,UNQUESTIONED,"c.1620, Houston. Possibly Artemisia as model. Acquired 1961. Bissell cat. 37.",UNQ_28_Portrait_of_a_Young_Woman_as_a_1620.jpg,,,,
Q18572437,Public Felicity Triumphant over Dangers,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Gentileschi%2C%20Orazio%20-%20Public%20Felicity%20Triumphant%20over%20Dangers%20-%201624-1625.jpg,INV 6809,Department of Paintings of the Louvre,Room 716,1623-01-01T00:00:00Z,allegory,woman,oil paint,267,170,UNQUESTIONED,"1624, Louvre. Marie de' Medici commission documented. Bissell cat. 43.",UNQ_29_Public_Felicity_Triumphant_ove_1623.jpg,,,,
Q18572302,Rest on the Flight into Egypt,"painting by Orazio Gentileschi, Louvre",http://commons.wikimedia.org/wiki/Special:FilePath/Gentileschi%20-%20Le%20Repos%20de%20la%20Sainte%20Famille%20pendant%20la%20fuite%20en%20%C3%89gypte%2002.jpg,INV 340,Department of Paintings of the Louvre,Room 712,1628-01-01T00:00:00Z,religious art,Mary,oil paint,157,225,UNQUESTIONED,"c.1625-26, Vienna. English period documented work. Bissell cat. 47.",UNQ_30_Rest_on_the_Flight_into_Egypt_1628.jpg,,,,
Q29024499,Rest on the Flight into Egypt,painting by Orazio Gentileschi (KHM),http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Lomi%20Gentileschi%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Ruhe%20auf%20der%20Flucht%20nach%20%C3%84gypten%20-%20GG%20180%20-%20Kunsthistorisches%20Museum.jpg,GG_180,Kunsthistorisches Museum,Kunsthistorisches Museum,1622-01-01T00:00:00Z,religious art,Mary,oil paint,54,85,UNQUESTIONED,"c.1625-26, Vienna. English period documented work. Bissell cat. 47.",UNQ_31_Rest_on_the_Flight_into_Egypt_1622.jpg,,,,
Q29057054,Rest on the Flight into Egypt,painting by Orazio Gentileschi in Birmingham,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Rest%20on%20the%20Flight%20into%20Egypt%20BRM%20BMAG%201947%20P5.jpg,1947P5,National Gallery of Umbria,Birmingham Museum and Art Gallery,1618-01-01T00:00:00Z,religious art,woman,oil paint,175.6,218,UNQUESTIONED,"c.1625-26, Vienna. English period documented work. Bissell cat. 47.",UNQ_32_Rest_on_the_Flight_into_Egypt_1618.jpg,,,,
Q29057042,Saint Cecilia With an Angel Playing the Spinnet,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Saint%20Cecilia%20Playing%20the%20Spinnet.png,,National Gallery of Umbria,National Gallery of Umbria,1621-01-01T00:00:00Z,religious art,woman,oil paint,90,105,UNQUESTIONED,"c.1618-21, National Gallery Washington. Acquired as Orazio 1963. Bissell cat. 36.",UNQ_34_Saint_Cecilia_With_an_Angel_Pl_1621.png,,,,
Q19931311,Saint Cecilia with an Angel,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Saint%20Cecilia%20with%20an%20Angel.JPG,1961.9.73,National Gallery of Art,National Gallery of Art,1618-01-01T00:00:00Z,religious art,organ,oil paint,87.5,108,UNQUESTIONED,"c.1618-21, National Gallery Washington. Acquired as Orazio 1963. Bissell cat. 36.",UNQ_35_Saint_Cecilia_with_an_Angel_1618.jpg,,,,
Q20553378,Saint Francis Supported by an Angel,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20St.%20Francis%20Supported%20by%20an%20Angel%20-%20MFA%202010.374.jpg,2010.374,Museum of Fine Arts Boston,Museum of Fine Arts Boston,1600-01-01T00:00:00Z,religious art,angel,oil paint,139.4,101,UNQUESTIONED,"c.1618-21, National Gallery Washington. Acquired as Orazio 1963. Bissell cat. 36.",UNQ_36_Saint_Francis_Supported_by_an__1600.jpg,,,,
Q27699363,Saint Francis supported by an Angel,painting by Orazio Lomi de Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20St%20Francis%20Supported%20by%20an%20Angel%20-%20WGA8583.jpg,P003122,Museo del Prado,Museo del Prado,1607-01-01T00:00:00Z,religious art,angel,oil paint,126,98,UNQUESTIONED,"c.1618-21, National Gallery Washington. Acquired as Orazio 1963. Bissell cat. 36.",UNQ_37_Saint_Francis_supported_by_an__1607.jpg,,,,
Q29033598,St Francis and the Angel,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20St%20Francis%20and%20the%20Angel%20-%20WGA08584.jpg,1276,Galleria Nazionale d'Arte Antica,Galleria Nazionale d'Arte Antica,1612-01-01T00:00:00Z,religious art,woman,oil paint,133,98,UNQUESTIONED,"c.1612-13, Prado. Caravaggio circle documented. Bissell cat. 23.",UNQ_38_St_Francis_and_the_Angel_1612.jpg,,,,
Q29045161,St. Mary Magdalene in Penitance,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Maddalena%20penitente%20-%20O.%20Gentileschi.png,,,Santa Maria Maddalena church,1615-01-01T00:00:00Z,religious art,woman,oil paint,86,61,UNQUESTIONED,"c.1605-10, Vienna. Early Roman work. Longhi 1916, Bissell cat. 10.",UNQ_39_St_Mary_Magdalene_in_Penitance_1615.png,,,,
Q26713329,The Finding of Moses,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Mos%C3%A8%20salvato%20dalle%20acque%20%28National%20Gallery%2C%20London%29.jpg,NG6684,Museo del Prado,National Gallery,1634-01-01T00:00:00Z,religious art,,oil paint,257,301,UNQUESTIONED,"c.1633, Prado. Commission documented for Philip IV. Bissell cat. 62. Universally accepted masterpiece.",UNQ_40_The_Finding_of_Moses_1634.jpg,,,,
Q27700846,The Finding of Moses,painting by Orazio Lomi de Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Mois%C3%A9s%20salvado%20de%20las%20aguas%20%28Orazio%20Gentileschi%29.jpg,P000147,Museo del Prado,Museo del Prado,1633-01-01T00:00:00Z,religious art,infant,oil paint,242,281,UNQUESTIONED,"c.1633, Prado. Commission documented for Philip IV. Bissell cat. 62. Universally accepted masterpiece.",UNQ_41_The_Finding_of_Moses_1633.jpg,,,,
Q20176925,The Lute Player,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Il%20suonatore%20di%20liuto%20%28National%20Gallery%20of%20Art%29.jpg,1962.8.1,National Gallery of Art,National Gallery of Art,1612-01-01T00:00:00Z,,,oil paint,143.5,129,UNQUESTIONED,"c.1612-15, National Gallery Washington. Acquired 1962. Bissell cat. 24.",UNQ_42_The_Lute_Player_1612.jpg,,,,
Q29032832,The Penitent Magdalene,painting by Orazio Gentileschi (private collection),http://commons.wikimedia.org/wiki/Special:FilePath/Maddalena%20penitente%20-%20O.%20Gentileschi%20%28private%20collection%29.png,,http://www.wikidata.org/.well-known/genid/147c295fbc9e59fb5c3b563c22cb7235,private collection,1622-01-01T00:00:00Z,religious art,woman,oil paint,,,UNQUESTIONED,"c.1605-10, Vienna. Early Roman work. Longhi 1916, Bissell cat. 10.",UNQ_43_The_Penitent_Magdalene_1622.png,,,,
Q111820870,The Rest on The Flight into Egypt,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Ogent.jpg,,,,1639-01-01T00:00:00Z,religious art,,,,,UNQUESTIONED,"c.1625-26, Vienna. English period documented work. Bissell cat. 47.",UNQ_45_The_Rest_on_The_Flight_into_Eg_1639.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Orazio_Gentileschi"" class=""extiw"" title=""w:en:Orazio Gentileschi""><span title=""Italian painter (1563–1639)"">Orazio Gentileschi</span></a></bdi>",CC BY-SA 4.0,,https://creativecommons.org/licenses/by-sa/4.0
Q28093481,The Stigmatization of Saint Francis,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20The%20Stigmatization%20of%20Saint%20Francis%20-%20BF.2008.11%20-%20Museum%20of%20Fine%20Arts.jpg,BF.2008.11,"Museum of Fine Arts, Houston","Museum of Fine Arts, Houston",1601-01-01T00:00:00Z,religious art,stigmata,oil paint,165.1,116.2,UNQUESTIONED,"c.1612-13, Prado. Caravaggio circle documented. Bissell cat. 23.",UNQ_46_The_Stigmatization_of_Saint_Fr_1601.jpg,,,,
Q29053277,Vision of St Francesca Romana,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20col%20Bambino%20e%20Santa%20Francesca%20Romana%20di%20Orazio%20Gentileschi%2C1.JPG,,Galleria Nazionale delle Marche,Galleria Nazionale delle Marche,1620-01-01T00:00:00Z,religious art,woman,oil paint,,,UNQUESTIONED,"1615, Urbino Cathedral. Commission documented by Schmarsow 1897. Bissell cat. 29.",UNQ_47_Vision_of_St_Francesca_Romana_1620.jpg,,,,
Q29033123,Young Woman Playing a Violin,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Young%20Woman%20with%20a%20Violin%20%28Saint%20Cecilia%29%20-%2068.47%20-%20Detroit%20Institute%20of%20Arts.jpg,68.47,Detroit Institute of Arts,Detroit Institute of Arts,1621-01-01T00:00:00Z,religious art,woman,oil paint,83.19,97.79,UNQUESTIONED,"c.1612, Detroit Institute. Style consistent with Roman period. Bissell cat. 25.",UNQ_48_Young_Woman_Playing_a_Violin_1621.jpg,,,,
Q133653767,Judith et sa servante,tableau d'Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20et%20sa%20servante%2C%20par%20Orazio%20Gentileschi.jpg,,Bilbao Fine Arts Museum,Bilbao Fine Arts Museum,1612-01-01T00:00:00Z,religious art,,oil paint,131,101,UNQUESTIONED,"c.1608-09, Oslo. Bissell cat. 14. Early Roman masterpiece, universally attributed.",UNQ_49_Judith_et_sa_servante_1612.jpg,,,,
